"id","name","ei_code","ei_big_contribuitor","name@es","tax_ids/tax_src_id","tax_ids/tax_dest_id","account_ids/account_src_id","account_ids/account_dest_id"
"fis_pos_co_com_cmu","Common","02",0,"Común","co_com_tax_rteiva_2_85gt",,,
,,,,,"co_com_tax_rteiva_0_75gt",,,
,,,,,"co_com_tax_rteiva_2_4gt",,,
,,,,,"co_com_tax_rteiva_2_85lt",,,
,,,,,"co_com_tax_rteiva_0_75lt",,,
,,,,,"co_com_tax_rteiva_2_4lt",,,
"fis_pos_co_com_sim","Simplified","00",0,"Simplificado","co_com_tax_rteiva_2_85gt",,,
,,,,,"co_com_tax_rteiva_0_75gt",,,
,,,,,"co_com_tax_rteiva_2_4gt",,,
,,,,,"co_com_tax_rtefte_0_1gt",,,
,,,,,"co_com_tax_rtefte_0_5gt",,,
,,,,,"co_com_tax_rtefte_1gt",,,
,,,,,"co_com_tax_rtefte_2gt",,,
,,,,,"co_com_tax_rtefte_2_5gt",,,
,,,,,"co_com_tax_rtefte_3_5gt",,,
,,,,,"co_com_tax_rtefte_4gt","co_com_tax_rtefte_3_5gt",,
,,,,,"co_com_tax_rtefte_6gt",,,
,,,,,"co_com_tax_rtefte_7gt",,,
,,,,,"co_com_tax_rtefte_10gt",,,
,,,,,"co_com_tax_rtefte_11gt","co_com_tax_rtefte_10gt",,
,,,,,"co_com_tax_rteica_0_414gt",,,
,,,,,"co_com_tax_rteica_0_69gt",,,
,,,,,"co_com_tax_rteica_0_966gt",,,
,,,,,"co_com_tax_rteica_1_104gt",,,
,,,,,"co_com_tax_rteica_1_38gt",,,
"fis_pos_co_com_gco","Great Contribuitor","02",1,"Gran Contribuyente","co_com_tax_rteiva_2_85lt",,,
,,,,,"co_com_tax_rteiva_0_75lt",,,
,,,,,"co_com_tax_rteiva_2_4lt",,,
,,,,,"co_com_tax_rtefte_0_1lt",,,
,,,,,"co_com_tax_rtefte_0_5lt",,,
,,,,,"co_com_tax_rtefte_1lt",,,
,,,,,"co_com_tax_rtefte_2lt",,,
,,,,,"co_com_tax_rtefte_2_5lt",,,
,,,,,"co_com_tax_rtefte_3_5lt",,,
,,,,,"co_com_tax_rtefte_4lt",,,
,,,,,"co_com_tax_rtefte_6lt",,,
,,,,,"co_com_tax_rtefte_7lt",,,
,,,,,"co_com_tax_rtefte_10lt",,,
,,,,,"co_com_tax_rtefte_11lt",,,
,,,,,"co_com_tax_rteica_0_414lt",,,
,,,,,"co_com_tax_rteica_0_69lt",,,
,,,,,"co_com_tax_rteica_0_966lt",,,
,,,,,"co_com_tax_rteica_1_104lt",,,
,,,,,"co_com_tax_rteica_1_38lt",,,
"fis_pos_co_com_int","International","02",0,"Internacional","co_com_tax_iva_19gt",,,
,,,,,"co_com_tax_iva_5gt",,,
,,,,,"co_com_tax_iva_16gt",,,
,,,,,"co_com_tax_rteiva_2_85gt",,,
,,,,,"co_com_tax_rteiva_0_75gt",,,
,,,,,"co_com_tax_rteiva_2_4gt",,,
,,,,,"co_com_tax_rtefte_0_1gt",,,
,,,,,"co_com_tax_rtefte_0_5gt",,,
,,,,,"co_com_tax_rtefte_1gt",,,
,,,,,"co_com_tax_rtefte_2gt",,,
,,,,,"co_com_tax_rtefte_2_5gt",,,
,,,,,"co_com_tax_rtefte_3_5gt",,,
,,,,,"co_com_tax_rtefte_4gt",,,
,,,,,"co_com_tax_rtefte_6gt",,,
,,,,,"co_com_tax_rtefte_7gt",,,
,,,,,"co_com_tax_rtefte_10gt",,,
,,,,,"co_com_tax_rtefte_11gt",,,
,,,,,"co_com_tax_rteica_0_414gt",,,
,,,,,"co_com_tax_rteica_0_69gt",,,
,,,,,"co_com_tax_rteica_0_966gt",,,
,,,,,"co_com_tax_rteica_1_104gt",,,
,,,,,"co_com_tax_rteica_1_38gt",,,
,,,,,"co_com_tax_iva_19lt",,,
,,,,,"co_com_tax_iva_5lt",,,
,,,,,"co_com_tax_iva_16lt",,,
,,,,,"co_com_tax_rteiva_2_85lt",,,
,,,,,"co_com_tax_rteiva_0_75lt",,,
,,,,,"co_com_tax_rteiva_2_4lt",,,
,,,,,"co_com_tax_rtefte_0_1lt",,,
,,,,,"co_com_tax_rtefte_0_5lt",,,
,,,,,"co_com_tax_rtefte_1lt",,,
,,,,,"co_com_tax_rtefte_2lt",,,
,,,,,"co_com_tax_rtefte_2_5lt",,,
,,,,,"co_com_tax_rtefte_3_5lt",,,
,,,,,"co_com_tax_rtefte_4lt",,,
,,,,,"co_com_tax_rtefte_6lt",,,
,,,,,"co_com_tax_rtefte_7lt",,,
,,,,,"co_com_tax_rtefte_10lt",,,
,,,,,"co_com_tax_rtefte_11lt",,,
,,,,,"co_com_tax_rteica_0_414lt",,,
,,,,,"co_com_tax_rteica_0_69lt",,,
,,,,,"co_com_tax_rteica_0_966lt",,,
,,,,,"co_com_tax_rteica_1_104lt",,,
,,,,,"co_com_tax_rteica_1_38lt",,,
"fis_pos_co_com_gna","Non-Self-Withholding Large Taxpayer","02",0,"Gran Contribuyente No Autoretenedor","co_com_tax_rteiva_2_85gt",,,
,,,,,"co_com_tax_rteiva_0_75gt",,,
,,,,,"co_com_tax_rteiva_2_4gt",,,
,,,,,"co_com_tax_rteiva_2_85lt",,,
,,,,,"co_com_tax_rteiva_0_75lt",,,
,,,,,"co_com_tax_rteiva_2_4lt",,,
"fis_pos_co_com_sde","Simplified Declarer","02",0,"Simplificado Declarante","co_com_tax_rteiva_2_85gt",,,
,,,,,"co_com_tax_rteiva_0_75gt",,,
,,,,,"co_com_tax_rteiva_2_4gt",,,
,,,,,"co_com_tax_rteiva_2_85lt",,,
,,,,,"co_com_tax_rteiva_0_75lt",,,
,,,,,"co_com_tax_rteiva_2_4lt",,,
"fis_pos_co_com_cau","Common Self-Retaining","02",1,"Común Autoretenedor","co_com_tax_rteiva_2_85lt",,,
,,,,,"co_com_tax_rteiva_0_75lt",,,
,,,,,"co_com_tax_rteiva_2_4lt",,,
,,,,,"co_com_tax_rtefte_0_1lt",,,
,,,,,"co_com_tax_rtefte_0_5lt",,,
,,,,,"co_com_tax_rtefte_1lt",,,
,,,,,"co_com_tax_rtefte_2lt",,,
,,,,,"co_com_tax_rtefte_2_5lt",,,
,,,,,"co_com_tax_rtefte_3_5lt",,,
,,,,,"co_com_tax_rtefte_4lt",,,
,,,,,"co_com_tax_rtefte_6lt",,,
,,,,,"co_com_tax_rtefte_7lt",,,
,,,,,"co_com_tax_rtefte_10lt",,,
,,,,,"co_com_tax_rtefte_11lt",,,
,,,,,"co_com_tax_rteica_0_414lt",,,
,,,,,"co_com_tax_rteica_0_69lt",,,
,,,,,"co_com_tax_rteica_0_966lt",,,
,,,,,"co_com_tax_rteica_1_104lt",,,
,,,,,"co_com_tax_rteica_1_38lt",,,
"fis_pos_co_com_cnd","Common Non-Declarer","04",0,"Común No Declarante","co_com_tax_rteiva_2_85gt",,,
,,,,,"co_com_tax_rteiva_0_75gt",,,
,,,,,"co_com_tax_rteiva_2_4gt",,,
,,,,,"co_com_tax_rtefte_0_1gt",,,
,,,,,"co_com_tax_rtefte_0_5gt",,,
,,,,,"co_com_tax_rtefte_1gt",,,
,,,,,"co_com_tax_rtefte_2gt",,,
,,,,,"co_com_tax_rtefte_2_5gt",,,
,,,,,"co_com_tax_rtefte_3_5gt",,,
,,,,,"co_com_tax_rtefte_4gt","co_com_tax_rtefte_3_5gt",,
,,,,,"co_com_tax_rtefte_6gt",,,
,,,,,"co_com_tax_rtefte_7gt",,,
,,,,,"co_com_tax_rtefte_10gt",,,
,,,,,"co_com_tax_rtefte_11gt","co_com_tax_rtefte_10gt",,
,,,,,"co_com_tax_rteica_0_414gt",,,
,,,,,"co_com_tax_rteica_0_69gt",,,
,,,,,"co_com_tax_rteica_0_966gt",,,
,,,,,"co_com_tax_rteica_1_104gt",,,
,,,,,"co_com_tax_rteica_1_38gt",,,
"fis_pos_co_com_adm","Administration (Internal)","03",0,"Administración (Interno)","co_com_tax_iva_19gt",,,
,,,,,"co_com_tax_iva_5gt",,,
,,,,,"co_com_tax_iva_16gt",,,
,,,,,"co_com_tax_rteiva_2_85gt",,,
,,,,,"co_com_tax_rteiva_0_75gt",,,
,,,,,"co_com_tax_rteiva_2_4gt",,,
,,,,,"co_com_tax_rtefte_0_1gt",,,
,,,,,"co_com_tax_rtefte_0_5gt",,,
,,,,,"co_com_tax_rtefte_1gt",,,
,,,,,"co_com_tax_rtefte_2gt",,,
,,,,,"co_com_tax_rtefte_2_5gt",,,
,,,,,"co_com_tax_rtefte_3_5gt",,,
,,,,,"co_com_tax_rtefte_4gt",,,
,,,,,"co_com_tax_rtefte_6gt",,,
,,,,,"co_com_tax_rtefte_7gt",,,
,,,,,"co_com_tax_rtefte_10gt",,,
,,,,,"co_com_tax_rtefte_11gt",,,
,,,,,"co_com_tax_rteica_0_414gt",,,
,,,,,"co_com_tax_rteica_0_69gt",,,
,,,,,"co_com_tax_rteica_0_966gt",,,
,,,,,"co_com_tax_rteica_1_104gt",,,
,,,,,"co_com_tax_rteica_1_38gt",,,
,,,,,"co_com_tax_iva_19lt",,,
,,,,,"co_com_tax_iva_5lt",,,
,,,,,"co_com_tax_iva_16lt",,,
,,,,,"co_com_tax_rteiva_2_85lt",,,
,,,,,"co_com_tax_rteiva_0_75lt",,,
,,,,,"co_com_tax_rteiva_2_4lt",,,
,,,,,"co_com_tax_rtefte_0_1lt",,,
,,,,,"co_com_tax_rtefte_0_5lt",,,
,,,,,"co_com_tax_rtefte_1lt",,,
,,,,,"co_com_tax_rtefte_2lt",,,
,,,,,"co_com_tax_rtefte_2_5lt",,,
,,,,,"co_com_tax_rtefte_3_5lt",,,
,,,,,"co_com_tax_rtefte_4lt",,,
,,,,,"co_com_tax_rtefte_6lt",,,
,,,,,"co_com_tax_rtefte_7lt",,,
,,,,,"co_com_tax_rtefte_10lt",,,
,,,,,"co_com_tax_rtefte_11lt",,,
,,,,,"co_com_tax_rteica_0_414lt",,,
,,,,,"co_com_tax_rteica_0_69lt",,,
,,,,,"co_com_tax_rteica_0_966lt",,,
,,,,,"co_com_tax_rteica_1_104lt",,,
,,,,,"co_com_tax_rteica_1_38lt",,,
"fis_pos_co_com_vta","Sales (Internal)","03",0,"Ventas (Interno)","co_com_tax_iva_19gt",,"co_puc_510503","co_puc_520503"
,,,,,"co_com_tax_iva_5gt",,"co_puc_510506","co_puc_520506"
,,,,,"co_com_tax_iva_16gt",,"co_puc_510512","co_puc_520512"
,,,,,"co_com_tax_rteiva_2_85gt",,"co_puc_510515","co_puc_520515"
,,,,,"co_com_tax_rteiva_0_75gt",,"co_puc_510518","co_puc_520518"
,,,,,"co_com_tax_rteiva_2_4gt",,"co_puc_510521","co_puc_520521"
,,,,,"co_com_tax_rtefte_0_1gt",,"co_puc_510524","co_puc_520524"
,,,,,"co_com_tax_rtefte_0_5gt",,"co_puc_510527","co_puc_520527"
,,,,,"co_com_tax_rtefte_1gt",,"co_puc_510530","co_puc_520530"
,,,,,"co_com_tax_rtefte_2gt",,"co_puc_510533","co_puc_520533"
,,,,,"co_com_tax_rtefte_2_5gt",,"co_puc_510536","co_puc_520536"
,,,,,"co_com_tax_rtefte_3_5gt",,"co_puc_510539","co_puc_520539"
,,,,,"co_com_tax_rtefte_4gt",,"co_puc_510542","co_puc_520542"
,,,,,"co_com_tax_rtefte_6gt",,"co_puc_510545","co_puc_520545"
,,,,,"co_com_tax_rtefte_7gt",,"co_puc_510548","co_puc_520548"
,,,,,"co_com_tax_rtefte_10gt",,"co_puc_510551","co_puc_520551"
,,,,,"co_com_tax_rtefte_11gt",,"co_puc_510554","co_puc_520554"
,,,,,"co_com_tax_rteica_0_414gt",,"co_puc_510557","co_puc_520557"
,,,,,"co_com_tax_rteica_0_69gt",,"co_puc_510558","co_puc_520558"
,,,,,"co_com_tax_rteica_0_966gt",,"co_puc_510559","co_puc_520559"
,,,,,"co_com_tax_rteica_1_104gt",,"co_puc_510560","co_puc_520560"
,,,,,"co_com_tax_rteica_1_38gt",,"co_puc_510561","co_puc_520561"
,,,,,"co_com_tax_iva_19lt",,"co_puc_510562","co_puc_520562"
,,,,,"co_com_tax_iva_5lt",,"co_puc_510563","co_puc_520563"
,,,,,"co_com_tax_iva_16lt",,"co_puc_510566","co_puc_520566"
,,,,,"co_com_tax_rteiva_2_85lt",,"co_puc_510568","co_puc_520568"
,,,,,"co_com_tax_rteiva_0_75lt",,"co_puc_510569","co_puc_520569"
,,,,,"co_com_tax_rteiva_2_4lt",,"co_puc_510570","co_puc_520570"
,,,,,"co_com_tax_rtefte_0_1lt",,"co_puc_510572","co_puc_520572"
,,,,,"co_com_tax_rtefte_0_5lt",,"co_puc_510575","co_puc_520575"
,,,,,"co_com_tax_rtefte_1lt",,"co_puc_510578","co_puc_520578"
,,,,,"co_com_tax_rtefte_2lt",,"co_puc_510581","co_puc_520581"
,,,,,"co_com_tax_rtefte_2_5lt",,"co_puc_510584","co_puc_520584"
,,,,,"co_com_tax_rtefte_3_5lt",,"co_puc_510595","co_puc_520595"
,,,,,"co_com_tax_rtefte_4lt",,,
,,,,,"co_com_tax_rtefte_6lt",,,
,,,,,"co_com_tax_rtefte_7lt",,,
,,,,,"co_com_tax_rtefte_10lt",,,
,,,,,"co_com_tax_rtefte_11lt",,,
,,,,,"co_com_tax_rteica_0_414lt",,,
